index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_15.jpg2,#dddddc',221,221,220,88.09141083,34.50881049,10.39854304,11.92152362,87.46737722,110.0428698,68.06022859,96.81984981,82.75576108,119.3130023,49.88802442,50.17600938,110.2979201,145.4354644,83.13462626,90.88715873,119.2318443,70.08124037
Horror_15.jpg3,#675a48',103,90,72,40.97594063,19.23390933,40.68016892,62.26957049,54.26675935,96.33044154,48.56515603,103.3815891,66.07393545,123.2908858,38.50407856,77.09767437,93.10729728,142.9206391,78.73047505,75.43301193,122.6183994,37.55237978
Horror_25.jpg3,#311017',49,16,23,20.36905385,47.41714198,70.34091219,92.07623165,48.82867163,99.40841808,74.56046642,132.2592186,91.15215526,152.4557741,61.52034215,106.0706808,74.37447428,129.0941218,100.0880945,60.79550565,114.8053623,47.62983172
Horror_25.jpg2,#c94832',201,72,50,80.50487639,64.36196766,70.45549816,82.20843201,23.26431153,40.68914175,65.23797316,102.1892188,102.2805112,148.168488,92.68774871,119.9410507,110.7411632,151.6921213,53.71272561,79.3794467,112.4525885,26.15530168
Horror_25.jpg1,#dddddc',221,221,220,88.09141083,34.50881049,10.39854304,11.92152362,87.46737722,110.0428698,68.06022859,96.81984981,82.75576108,119.3130023,49.88802442,50.17600938,110.2979201,145.4354644,83.13462626,90.88715873,119.2318443,70.08124037
Horror_5.jpg1,#090f0d',9,15,13,4.420244449,49.75757377,73.86207633,96.15055122,66.39702308,116.9058473,74.81295937,133.9519944,81.92383834,144.8031495,52.55456822,99.66830256,82.29155178,138.2777253,109.1359534,75.83942454,130.3635186,59.97769611
Horror_5.jpg2,#58554e',88,85,78,36.4982592,17.94604514,41.73242855,63.94249313,59.71576831,103.2708451,55.93003113,110.7323398,69.37570333,127.4250371,33.68478758,75.20015305,87.213771,137.6433093,87.30184596,72.23556497,120.5783257,45.17610548
Horror_5.jpg3,#dcdcdc',220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
Horror_12.jpg1,#140c0a',20,12,10,5.018359861,49.76751911,73.85457866,96.13470964,62.04563279,112.7801568,74.49861228,133.6420498,83.94937702,146.7083761,55.30104189,102.0925293,80.77970978,136.7663992,107.0089068,72.88894342,127.5085325,56.83765355
Horror_21.jpg2,#dbdcdc',219,220,220,87.68636051,34.10250876,9.987655419,12.31958471,87.53014076,110.4012659,68.3211285,97.41416826,82.8190433,119.6209867,49.36766586,49.87638444,109.7327681,144.9148001,83.69222739,90.48569713,118.9578525,70.20484339
Horror_12.jpg3,#694942',105,73,66,37.80854768,24.96106604,46.19784841,67.57225511,46.26858715,90.69826132,56.34021384,110.9685575,76.80967087,134.2548361,47.33671808,86.45554091,84.84088008,135.0581018,81.13879406,65.51727768,113.8945224,34.41471193
Horror_12.jpg2,#dbdbdb',219,219,219,87.40602265,33.82102241,9.701622342,12.59397772,87.0929721,109.9954234,68.13923097,97.40046413,82.8180998,119.781588,49.36174481,50.25323967,109.4656542,144.7114447,83.44007823,90.13365595,118.6746853,69.80660818
Horror_14.jpg3,#dcdbd9',220,219,217,87.43761971,33.86358986,9.788346235,12.61735854,86.64571626,109.3479147,67.23641826,96.32702021,82.16071757,119.0068041,49.57132148,50.55431077,110.1441223,145.5526455,82.40893071,90.61229332,119.2630887,69.19127555
